stage,feature,selected,score,ranking
filter_select_kbest,num__artist_prev_mean_streams,True,57.918686132225616,
filter_select_kbest,num__artist_is_new,False,0.051730355121269646,
filter_select_kbest,num__audio_duration_ms,True,8.259059801436315,
filter_select_kbest,num__audio_danceability,True,36.32619967405862,
filter_select_kbest,num__audio_energy,True,13.862235134434837,
filter_select_kbest,num__audio_key,False,2.3529120230412177,
filter_select_kbest,num__audio_loudness,False,0.02920945272994732,
filter_select_kbest,num__audio_mode,True,4.584630955205715,
filter_select_kbest,num__audio_speechiness,True,4.412783311042663,
filter_select_kbest,num__audio_acousticness,False,2.883529514573096,
filter_select_kbest,num__audio_instrumentalness,False,2.869117580774349,
filter_select_kbest,num__audio_liveness,False,0.30233874767945373,
filter_select_kbest,num__audio_valence,False,0.11912775529846335,
filter_select_kbest,num__audio_tempo,False,0.07954784661669691,
filter_select_kbest,num__audio_time_signature,False,0.27198703965446863,
filter_select_kbest,num__duration_min,True,8.259059801436313,
filter_select_kbest,num__is_short_track,False,1.2950422575502276,
filter_select_kbest,num__is_long_track,True,3.850722936586996,
filter_select_kbest,num__dance_energy,False,0.9449778022012666,
filter_select_kbest,num__positive_energy,False,2.0230743571885506,
filter_select_kbest,num__loudness_energy,True,9.656424688386892,
filter_select_kbest,num__acoustic_energy_contrast,False,0.6613316625854617,
filter_select_kbest,num__tempo_squared,False,0.21515596492252687,
filter_select_kbest,cat__audio_explicit_False,False,2.4079086679524178,
filter_select_kbest,cat__audio_explicit_True,False,2.4079086679526522,
filter_select_kbest,cat__audio_track_genre_acoustic,False,0.4113396675846313,
filter_select_kbest,cat__audio_track_genre_alt-rock,True,9.226417683532373,
filter_select_kbest,cat__audio_track_genre_alternative,True,7.516409078052512,
filter_select_kbest,cat__audio_track_genre_anime,False,0.4113396675846313,
filter_select_kbest,cat__audio_track_genre_blues,False,0.6138650522430492,
filter_select_kbest,cat__audio_track_genre_british,False,3.3118892353321416,
filter_select_kbest,cat__audio_track_genre_chicago-house,False,0.4113396675846313,
filter_select_kbest,cat__audio_track_genre_chill,False,0.05089384416499233,
filter_select_kbest,cat__audio_track_genre_club,False,2.4324068088773974,
filter_select_kbest,cat__audio_track_genre_comedy,False,2.4324068088773974,
filter_select_kbest,cat__audio_track_genre_country,True,6.148673541287978,
filter_select_kbest,cat__audio_track_genre_dance,True,61.48088431357603,
filter_select_kbest,cat__audio_track_genre_dancehall,False,0.20324068575846396,
filter_select_kbest,cat__audio_track_genre_deep-house,False,2.895242012889072,
filter_select_kbest,cat__audio_track_genre_disco,False,1.787446196585068,
filter_select_kbest,cat__audio_track_genre_dub,False,0.4113396675846313,
filter_select_kbest,cat__audio_track_genre_edm,False,3.2506714599643542,
filter_select_kbest,cat__audio_track_genre_electro,False,0.5483400443835792,
filter_select_kbest,cat__audio_track_genre_electronic,False,1.6498788864658287,
filter_select_kbest,cat__audio_track_genre_emo,True,9.111689608071893,
filter_select_kbest,cat__audio_track_genre_folk,True,5.827945567534565,
filter_select_kbest,cat__audio_track_genre_forro,False,1.6498788864658287,
filter_select_kbest,cat__audio_track_genre_french,False,1.236277043015109,
filter_select_kbest,cat__audio_track_genre_funk,False,2.5171577140765944,
filter_select_kbest,cat__audio_track_genre_garage,True,7.096467017690373,
filter_select_kbest,cat__audio_track_genre_german,False,0.20324068575846396,
filter_select_kbest,cat__audio_track_genre_grunge,True,8.372062007531062,
filter_select_kbest,cat__audio_track_genre_hard-rock,True,4.566438982540907,
